id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
45,"Neural Information Processing, 16th International Conference, ICONIP
2009, Bangkok, Thailand, December 1-5, 2009, Proceedings, Part II",conference,,Springer,1,1,2026-01-31 22:35:56.067574,2026-01-31 22:35:56.071441
47,OR Spectr.,journal,,,1,1,2026-01-31 22:35:56.081717,2026-01-31 22:35:56.086044
22,Soft Comput.,journal,,,5,5,2026-01-31 22:35:55.760402,2026-01-31 22:35:56.093409
48,"Evolutionary Computation in Combinatorial Optimization, 7th European
Conference, EvoCOP 2007, Valencia, Spain, April 11-13, 2007, Proceedings",conference,,Springer,1,1,2026-01-31 22:35:56.093676,2026-01-31 22:35:56.098976
38,Asia Pac. J. Oper. Res.,journal,,,4,4,2026-01-31 22:35:55.967593,2026-01-31 22:35:56.114076
11,J. Heuristics,journal,,,3,3,2026-01-31 22:35:55.508045,2026-01-31 22:35:56.119283
54,"28th Asia Pacific Conference on Communications, APCC 2023, Sydney,
Australia, November 19-22, 2023",conference,,IEEE,1,1,2026-01-31 22:35:56.175661,2026-01-31 22:35:56.180161
55,"Intelligent Data Engineering and Analytics - Proceedings of the 11th
International Conference on Frontiers of Intelligent Computing: Theory
and Applications (FICTA 2023), Cardiff, UK, 11-12 April 2023",conference,,Springer,1,1,2026-01-31 22:35:56.180353,2026-01-31 22:35:56.185177
57,"Intelligent Human Computer Interaction - 15th International Conference,
IHCI 2023, Daegu, South Korea, November 8-10, 2023, Revised Selected
Papers, Part II",conference,,Springer,1,1,2026-01-31 22:35:56.210486,2026-01-31 22:35:56.212811
58,"IEEE INFOCOM 2022 - IEEE Conference on Computer Communications
Workshops, INFOCOM 2022 - Workshops, New York, NY, USA, May 2-5,
2022",conference,,IEEE,1,1,2026-01-31 22:35:56.235608,2026-01-31 22:35:56.238372
59,"IEEE International Conference on Internet of Things and Intelligence
Systems, IoTaIS 2022, Bali, Indonesia, November 24-26, 2022",conference,,IEEE,1,1,2026-01-31 22:35:56.241109,2026-01-31 22:35:56.243879
60,"ICC 2021 - IEEE International Conference on Communications, Montreal,
QC, Canada, June 14-23, 2021",conference,,IEEE,1,1,2026-01-31 22:35:56.273107,2026-01-31 22:35:56.276229
61,IEEE Trans. Instrum. Meas.,journal,,,1,1,2026-01-31 22:35:56.282613,2026-01-31 22:35:56.286917
63,Phys. Commun.,journal,,,1,1,2026-01-31 22:35:56.298639,2026-01-31 22:35:56.303197
50,"Proceedings of the 2nd Indian International Conference on Artificial
Intelligence, Pune, India, December 20-22, 2005",conference,,IICAI,2,2,2026-01-31 22:35:56.119530,2026-01-31 22:35:58.017663
53,"17th International Conference on Sensing Technology, ICST 2024,
Sydney, Australia, December 9-11, 2024",conference,,IEEE,3,3,2026-01-31 22:35:56.154812,2026-01-31 22:36:02.066855
51,Int. J. Sens. Networks,journal,,,3,3,2026-01-31 22:35:56.130750,2026-01-31 22:36:03.186165
56,"International Conference on Machine Learning and Data Engineering,
ICMLDE 2023, Dehradun, India, 23-24 November 2023",conference,,Elsevier,5,5,2026-01-31 22:35:56.185364,2026-01-31 22:36:04.132056
49,"Proceedings of the 3rd Indian International Conference on Artificial
Intelligence, Pune, India, December 17-19, 2007",conference,,IICAI,5,5,2026-01-31 22:35:56.099282,2026-01-31 22:36:09.193778
52,J. Supercomput.,journal,,,5,5,2026-01-31 22:35:56.137494,2026-01-31 22:36:09.667343
62,Wirel. Pers. Commun.,journal,,,4,4,2026-01-31 22:35:56.287114,2026-01-31 22:36:09.718243
4,Appl. Soft Comput.,journal,,,20,20,2026-01-31 22:35:55.370145,2026-01-31 22:36:09.817641
64,"Proceedings of the 5th International Conference on Frontiers in Intelligent
Computing: Theory and Applications - FICTA 2016, Bhubaneswar, Odisa,
India, Volume 1",conference,,Springer,1,1,2026-01-31 22:35:56.341125,2026-01-31 22:35:56.345545
66,"Neural Information Processing - 23rd International Conference, ICONIP
2016, Kyoto, Japan, October 16-21, 2016, Proceedings, Part III",conference,,,1,1,2026-01-31 22:35:56.375710,2026-01-31 22:35:56.380225
67,"Security in Computing and Communications - Third International Symposium,
SSCC 2015, Kochi, India, August 10-13, 2015. Proceedings",conference,,Springer,1,1,2026-01-31 22:35:56.392639,2026-01-31 22:35:56.396116
69,Int. J. E Serv. Mob. Appl.,journal,,,1,1,2026-01-31 22:35:56.412966,2026-01-31 22:35:56.419448
70,IET Comput. Digit. Tech.,journal,,,1,1,2026-01-31 22:35:56.421667,2026-01-31 22:35:56.426142
71,Int. J. E Bus. Res.,journal,,,1,1,2026-01-31 22:35:56.445070,2026-01-31 22:35:56.451912
73,"Swarm, Evolutionary, and Memetic Computing - 4th International Conference,
SEMCCO 2013, Chennai, India, December 19-21, 2013, Proceedings,
Part I",conference,,Springer,1,1,2026-01-31 22:35:56.462906,2026-01-31 22:35:56.466051
74,Des. Autom. Embed. Syst.,journal,,,1,1,2026-01-31 22:35:56.479326,2026-01-31 22:35:56.491051
75,Int. J. Adv. Pervasive Ubiquitous Comput.,journal,,,1,1,2026-01-31 22:35:56.491302,2026-01-31 22:35:56.499815
76,Int. J. Inf. Secur. Priv.,journal,,,1,1,2026-01-31 22:35:56.510625,2026-01-31 22:35:56.517971
77,"Fourth International Conference on Communication Systems and Networks,
COMSNETS 2012, Bangalore, India, January 3-7, 2012",conference,,IEEE,1,1,2026-01-31 22:35:56.518163,2026-01-31 22:35:56.522921
78,"6th International Conference on Signal Processing and Communication
Systems, ICSPCS 2012, Gold Coast, Australia, December 12-14, 2012",conference,,IEEE,1,1,2026-01-31 22:35:56.535291,2026-01-31 22:35:56.541895
79,"First International Conference on Security of Internet of Things,
SECURIT '12, Kollam, India - August 17 - 19, 2012",conference,,ACM,1,1,2026-01-31 22:35:56.542115,2026-01-31 22:35:56.549947
81,Ad Hoc Sens. Wirel. Networks,journal,,,1,1,2026-01-31 22:35:56.558450,2026-01-31 22:35:56.565547
82,"Proceedings of IEEE International Conference on Communications,
ICC 2011, Kyoto, Japan, 5-9 June, 2011",conference,,IEEE,1,1,2026-01-31 22:35:56.573660,2026-01-31 22:35:56.577924
