id,author1_id,author2_id,collaboration_count,first_collaboration_year,last_collaboration_year,created_at,updated_at
2425,853,855,1,2006,2006,2026-01-31 22:36:07.331069,2026-01-31 22:36:07.331069
2426,113,854,1,2006,2006,2026-01-31 22:36:07.332867,2026-01-31 22:36:07.332867
2427,854,855,1,2006,2006,2026-01-31 22:36:07.334505,2026-01-31 22:36:07.334506
2429,856,857,1,2005,2005,2026-01-31 22:36:07.343266,2026-01-31 22:36:07.343266
2430,113,856,1,2005,2005,2026-01-31 22:36:07.345435,2026-01-31 22:36:07.345436
2431,113,857,1,2005,2005,2026-01-31 22:36:07.347154,2026-01-31 22:36:07.347154
2411,113,847,3,2005,2009,2026-01-31 22:36:07.259581,2026-01-31 22:36:07.357702
2412,76,847,3,2005,2009,2026-01-31 22:36:07.261813,2026-01-31 22:36:07.357703
2432,113,858,1,2005,2005,2026-01-31 22:36:07.362929,2026-01-31 22:36:07.362929
2433,858,859,1,2005,2005,2026-01-31 22:36:07.365258,2026-01-31 22:36:07.365259
2434,113,859,1,2005,2005,2026-01-31 22:36:07.366971,2026-01-31 22:36:07.366971
2435,113,860,1,2005,2005,2026-01-31 22:36:07.372383,2026-01-31 22:36:07.372383
2436,855,861,1,2004,2004,2026-01-31 22:36:07.378319,2026-01-31 22:36:07.378319
2437,113,861,1,2004,2004,2026-01-31 22:36:07.380694,2026-01-31 22:36:07.380696
2428,113,855,2,2004,2006,2026-01-31 22:36:07.336163,2026-01-31 22:36:07.385470
2438,113,862,1,2004,2004,2026-01-31 22:36:07.388679,2026-01-31 22:36:07.388679
2439,76,862,1,2004,2004,2026-01-31 22:36:07.391086,2026-01-31 22:36:07.391087
2361,76,113,9,2004,2018,2026-01-31 22:36:06.981954,2026-01-31 22:36:07.395508
2440,113,863,1,2003,2003,2026-01-31 22:36:07.399422,2026-01-31 22:36:07.399423
2441,113,864,1,2003,2003,2026-01-31 22:36:07.401692,2026-01-31 22:36:07.401692
2442,863,864,1,2003,2003,2026-01-31 22:36:07.403402,2026-01-31 22:36:07.403402
2443,401,865,1,2002,2002,2026-01-31 22:36:07.410368,2026-01-31 22:36:07.410368
2444,401,866,1,2002,2002,2026-01-31 22:36:07.412653,2026-01-31 22:36:07.412654
2445,865,866,1,2002,2002,2026-01-31 22:36:07.415792,2026-01-31 22:36:07.415792
2446,113,865,1,2002,2002,2026-01-31 22:36:07.417605,2026-01-31 22:36:07.417605
2447,113,866,1,2002,2002,2026-01-31 22:36:07.419362,2026-01-31 22:36:07.419362
2369,113,401,4,2001,2017,2026-01-31 22:36:07.035866,2026-01-31 22:36:07.427506
2448,113,867,1,2001,2001,2026-01-31 22:36:07.427724,2026-01-31 22:36:07.427725
2449,401,867,1,2001,2001,2026-01-31 22:36:07.430001,2026-01-31 22:36:07.430002
2450,113,868,1,1997,1997,2026-01-31 22:36:07.436539,2026-01-31 22:36:07.436540
2451,113,869,1,1997,1997,2026-01-31 22:36:07.438805,2026-01-31 22:36:07.438805
2405,401,846,6,2011,2018,2026-01-31 22:36:07.228071,2026-01-31 22:36:08.202443
2407,131,846,6,2011,2018,2026-01-31 22:36:07.232230,2026-01-31 22:36:08.202444
2409,131,401,6,2011,2018,2026-01-31 22:36:07.237341,2026-01-31 22:36:08.202444
2452,868,869,1,1997,1997,2026-01-31 22:36:07.440535,2026-01-31 22:36:07.440536
2453,113,870,1,1995,1995,2026-01-31 22:36:07.446853,2026-01-31 22:36:07.446853
2454,131,870,1,1995,1995,2026-01-31 22:36:07.450809,2026-01-31 22:36:07.450809
2456,528,872,3,2014,2015,2026-01-31 22:36:07.470175,2026-01-31 22:36:07.493390
2457,486,528,1,2014,2014,2026-01-31 22:36:07.496602,2026-01-31 22:36:07.496603
2455,528,871,4,2012,2015,2026-01-31 22:36:07.465255,2026-01-31 22:36:07.519556
2459,873,874,1,2012,2012,2026-01-31 22:36:07.524245,2026-01-31 22:36:07.524246
2462,528,876,1,2010,2010,2026-01-31 22:36:07.553807,2026-01-31 22:36:07.553807
2463,874,876,1,2010,2010,2026-01-31 22:36:07.558566,2026-01-31 22:36:07.558568
2464,877,878,1,2009,2009,2026-01-31 22:36:07.586827,2026-01-31 22:36:07.586828
2465,877,879,1,2009,2009,2026-01-31 22:36:07.590806,2026-01-31 22:36:07.590808
2466,528,877,1,2009,2009,2026-01-31 22:36:07.593763,2026-01-31 22:36:07.593764
2467,877,880,1,2009,2009,2026-01-31 22:36:07.596444,2026-01-31 22:36:07.596445
2475,528,882,1,2009,2009,2026-01-31 22:36:07.625434,2026-01-31 22:36:07.625435
2476,881,882,1,2009,2009,2026-01-31 22:36:07.628164,2026-01-31 22:36:07.628165
2477,874,881,1,2009,2009,2026-01-31 22:36:07.629805,2026-01-31 22:36:07.629806
2478,874,882,1,2009,2009,2026-01-31 22:36:07.631502,2026-01-31 22:36:07.631502
2474,528,881,2,2009,2009,2026-01-31 22:36:07.623550,2026-01-31 22:36:07.644104
2479,528,883,1,2009,2009,2026-01-31 22:36:07.644353,2026-01-31 22:36:07.644354
2480,528,884,1,2009,2009,2026-01-31 22:36:07.646583,2026-01-31 22:36:07.646584
2481,881,883,1,2009,2009,2026-01-31 22:36:07.648198,2026-01-31 22:36:07.648199
2482,881,884,1,2009,2009,2026-01-31 22:36:07.650080,2026-01-31 22:36:07.650080
2483,883,884,1,2009,2009,2026-01-31 22:36:07.651726,2026-01-31 22:36:07.651727
2484,528,885,1,2008,2008,2026-01-31 22:36:07.657548,2026-01-31 22:36:07.657549
2485,528,886,1,2008,2008,2026-01-31 22:36:07.667358,2026-01-31 22:36:07.667358
2458,528,873,4,2008,2014,2026-01-31 22:36:07.502471,2026-01-31 22:36:07.676757
2487,528,888,1,2008,2008,2026-01-31 22:36:07.676960,2026-01-31 22:36:07.676960
