id,author1_name,author1_is_faculty,author2_name,author2_is_faculty,collaboration_count,first_collaboration_year,last_collaboration_year
2851,Arun Agarwal,True,Amar Gupta,False,5,1994,1999
207,Avatharam Ganivada,True,Shubhra Sankar Ray,False,5,2011,2017
2458,Hrushikesha Mohanty,True,Supriya Vaddi,False,4,2008,2014
2823,Vineet Padmanabhan,True,Upendra Kumar Singh,False,4,2013,2014
1498,Saifulla Md. Abdul,True,Amarajyothi Aramanda,False,4,2021,2025
45,Alok Singh,True,Anurag Singh Baghel,False,4,2007,2009
2455,Hrushikesha Mohanty,True,A. Vani Vathsala,False,4,2012,2015
2000,Bapi Raju Surampudi,True,M. A. H. Farquad,False,4,2009,2014
2720,Arun K. Pujari,True,V. Radha,False,4,2003,2005
1421,Arun Kumar Das,True,Anil Maheshwari,False,4,2020,2023
23,Alok Singh,True,Wilson Naik Bhukya,True,4,2011,2019
2344,Atul Negi,True,Nenavath Srinivas Naik,False,4,2014,2019
225,Arun Agarwal,True,Munaga V. N. K. Prasad,False,4,2012,2020
2369,Atul Negi,True,Chakravarthy Bhagvati,True,4,2001,2017
2243,S. Durga Bhavani,True,Monachary Kammari,False,4,2023,2024
2699,Arun K. Pujari,True,Subrat Kumar Dash,False,4,2005,2011
213,Sreenivasu Mirampalli,False,Satish Narayana Srirama,True,4,2023,2025
214,Sreenivasu Mirampalli,False,Rajeev Wankar,True,4,2023,2025
443,Satish Narayana Srirama,True,Schahram Dustdar,False,4,2022,2024
2255,S. Durga Bhavani,True,K. Suvarna Vani,False,4,2011,2015
216,Satish Narayana Srirama,True,Rajeev Wankar,True,4,2023,2025
246,Arun Agarwal,True,Pramodkumar Konugurthi,False,4,2014,2017
322,Rajeev Wankar,True,N. A. B. Sankar Chebolu,False,4,2012,2016
1569,Rajendra Prasad Lal,True,Akshay Badola,False,4,2021,2025
2182,N. Chaitanya Kumar,False,V. Ch. Venkaiah,True,4,2017,2019
1192,Satish Narayana Srirama,True,Yiwei Cao,False,4,2006,2009
2187,Priyadarshi Singh,False,V. Ch. Venkaiah,True,4,2017,2019
2897,Vineet Padmanabhan,True,Antonino Rotolo,False,4,2006,2009
402,Satish Narayana Srirama,True,Aditya Kumar,False,4,2021,2025
425,Satish Narayana Srirama,True,Sukhpal Singh Gill,False,4,2021,2025
468,Satish Narayana Srirama,True,Blesson Varghese,False,4,2017,2024
1350,P. S. V. S. Sai Prasad,True,Abhimanyu Bar,False,4,2019,2026
599,Satish Narayana Srirama,True,Rami Bahsoon,False,4,2017,2022
223,Arun Agarwal,True,Hemantha Kumar Kalluri,False,4,2012,2020
1288,Nagender Kumar Suryadevara,True,Subhas Mukhopadhyay,False,4,2015,2023
2852,Arun Agarwal,True,Patrick Shen-Pei Wang,False,4,1994,1999
2562,Chakravarthy Bhagvati,True,Niyishaka Patrick,False,4,2018,2022
243,Arun Agarwal,True,Raghavendra Kune,False,4,2014,2017
285,Atul Negi,True,Rafah M. Almuttairi,False,4,2010,2013
34,Alok Singh,True,Anupama Potluri,True,4,2011,2013
1683,Bapi Raju Surampudi,True,Mounika Marreddy,False,4,2022,2025
29,Alok Singh,True,Jayalakshmi Banda,False,4,2014,2017
290,Rajeev Wankar,True,Rajkumar Buyya,False,4,2013,2019
1756,Bapi Raju Surampudi,True,Kamalaker Dadi,False,4,2022,2024
24,Alok Singh,True,Abobakr Khalil Alshamiri,False,4,2014,2018
2582,Arun K. Pujari,True,Challa S. Sastry,False,4,2004,2007
25,Abobakr Khalil Alshamiri,False,Bapi Raju Surampudi,True,4,2014,2018
764,Satish Narayana Srirama,True,Rodrigo N. Calheiros,False,4,2015,2019
2634,Vineet Padmanabhan,True,Sowmini Devi Veeramachaneni,False,4,2019,2022
26,Alok Singh,True,Bapi Raju Surampudi,True,4,2014,2018
2671,Arun K. Pujari,True,Abdul Sattar,False,4,1999,2016
55,Siba K. Udgata,True,Srinivas Sethi,False,4,2010,2024
296,Arun Agarwal,True,Mustafa Kaiiali,False,4,2010,2013
2330,Atul Negi,True,R. Aruna Flarence,False,3,2023,2025
1223,Anjeneya Swami Kare,True,Sriram Bhyravarapu,False,3,2018,2021
1225,Anjeneya Swami Kare,True,Saurabh Joshi,False,3,2018,2021
2190,Chakravarthy Bhagvati,True,Y. V. Subba Rao,True,3,2012,2014
64,Siba K. Udgata,True,Ajit Kumar Sahoo,False,3,2020,2023
210,Bheekya Dharamsotu,False,Salman Abdul Moiz,True,3,2019,2025
2124,Atul Negi,True,Bulusu Lakshmana Deekshatulu,False,3,2004,2011
212,Salman Abdul Moiz,True,C. Raghavendra Rao,False,3,2019,2025
1257,Anupama Potluri,True,Atul Negi,True,3,2007,2011
231,Rajeev Wankar,True,Parwat Singh Anjana,False,3,2017,2019
2229,Nekuri Naveen,True,Sabhapathy Myakal,False,3,2023,2025
2230,Rajarshi Pal,False,Nekuri Naveen,True,3,2023,2025
228,Salman Abdul Moiz,True,K. Swarupa Rani,True,3,2019,2026
2239,S. Durga Bhavani,True,S. Tejaswi,False,3,2023,2026
2240,V. N. Sastry,False,S. Durga Bhavani,True,3,2023,2026
193,Vineet Padmanabhan,True,Kollapalli Ramesh Babu,False,3,2011,2018
2241,S. Durga Bhavani,True,Ramesh Bobby Addanki,False,3,2020,2025
515,Satish Narayana Srirama,True,Ambigavathi Munusamy,False,3,2022,2023
