id,title,dblp_key,publication_type,year,journal,booktitle,source_pids
1264,Group Recommender Systems - Some Experimental Results,DBLP:conf/icaart/PadmanabhanKS13,conference,2013,,"ICAART 2013 - Proceedings of the 5th International Conference on
Agents and Artificial Intelligence, Volume 2, Barcelona, Spain, 15-18
February, 2013",98/255
238,Hand Gesture Segmentation from Complex Color-Texture Background Image,DBLP:conf/miwai/VermaWRA13,conference,2013,,"Multi-disciplinary Trends in Artificial Intelligence - 7th International
Workshop, MIWAI 2013, Krabi, Thailand, December 9-11, 2013. Proceedings",07/5281-1;31/566;97/3869
828,"Hybrid classification and regression models via particle swarm optimization
auto associative neural network based nonlinear PCA",DBLP:journals/ijhis/RaviNP13,article,2013,Int. J. Hybrid Intell. Syst.,,55/8654
58,Hybrid metaheuristic algorithms for minimum weight dominating set,DBLP:journals/asc/PotluriS13,article,2013,Appl. Soft Comput.,,01/1744-1;16/5380
894,"Ideal and Perfect Hierarchical Secret Sharing Schemes based on MDS
codes",DBLP:journals/iacr/TentuPV13,article,2013,IACR Cryptol. ePrint Arch.,,66/8044
431,"Improving Statistical Approach for Memory Leak Detection Using Machine
Learning",DBLP:conf/icsm/SorOTS13,conference,2013,,"2013 IEEE International Conference on Software Maintenance, Eindhoven,
The Netherlands, September 22-28, 2013",09/1571
1064,Index Calculus Method based on Smooth Numbers of \(±\)1 over Zp,DBLP:journals/ijnsec/PadmavathyB13,article,2013,Int. J. Netw. Secur.,,91/1525
60,Lifetime maximization in wireless directional sensor network,DBLP:journals/eor/RossiSS13,article,2013,Eur. J. Oper. Res.,,01/1744-1
61,"Metaheuristic algorithms for computing capacitated dominating set
with uniform and variable capacities",DBLP:journals/swevo/PotluriS13,article,2013,Swarm Evol. Comput.,,01/1744-1;16/5380
64,Metaheuristic Approaches for Multiprocessor Scheduling,DBLP:conf/socpros/MungandaS13,conference,2013,,"Proceedings of the Third International Conference on Soft Computing
for Problem Solving - SocProS 2013, Volume 1, Greater Noida Extension
Centre, IIT Roorkee, India, December 26-28, 2013",01/1744-1
435,Mobile cloud messaging supported by XMPP primitives,DBLP:conf/mobccs/FloresS13a,conference,2013,,"Proceeding of the fourth ACM workshop on Mobile cloud computing
and services, MCS 2013, Taipei, Taiwan, June 25-28, 2013",09/1571
436,Mobile code offloading: should it be a local decision or global inference?,DBLP:conf/mobisys/MacarioS13,conference,2013,,"The 11th Annual International Conference on Mobile Systems, Applications,
and Services, MobiSys'13, Taipei, Taiwan, June 25-28, 2013",09/1571
988,Network of Social Listeners,DBLP:conf/icdcit/Mohanty13,conference,2013,,"Distributed Computing and Internet Technology, 9th International Conference,
ICDCIT 2013, Bhubaneswar, India, February 5-8, 2013. Proceedings",74/5678
59,New heuristic approaches for the dominating tree problem,DBLP:journals/asc/SundarS13,article,2013,Appl. Soft Comput.,,01/1744-1
438,NEWT - A Fault Tolerant BSP Framework on Hadoop YARN,DBLP:conf/ucc/KromonovJS13,conference,2013,,"IEEE/ACM 6th International Conference on Utility and Cloud Computing,
UCC 2013, Dresden, Germany, December 9-12, 2013",09/1571
1233,"Performance Analysis of OFDM Based DAB Systems Using BCH-FEC
Coding Technique",DBLP:conf/ficta/AgarwalA13,conference,2013,,"Proceedings of the International Conference on Frontiers of Intelligent
Computing: Theory and Applications (FICTA) 2013, Bhubaneswar, Odisa,
India, 14-16 November 2013",97/3869
